Дата,Серебро (Банк России)
2/26/2020,39.19
2/24/2020,38.01
2/22/2020,38.01
2/21/2020,37.59
2/20/2020,36.62
2/19/2020,36.49
2/18/2020,36.04
2/17/2020,35.99
2/15/2020,35.99
2/14/2020,35.91
2/13/2020,35.89
2/12/2020,36.57
2/11/2020,36.43
2/10/2020,36.25
2/8/2020,36.25
2/7/2020,35.57
2/6/2020,36.01
2/5/2020,36.24
2/4/2020,36.75
2/3/2020,35.98
2/1/2020,35.98
1/31/2020,35.41
1/30/2020,36.06
1/29/2020,36.96
1/28/2020,35.74
1/27/2020,34.97
1/25/2020,34.97
1/24/2020,35.39
1/23/2020,35.75
1/22/2020,35.91
1/21/2020,35.69
1/20/2020,35.63
1/18/2020,35.63
1/17/2020,35.33
1/16/2020,35.10
1/15/2020,35.51
1/14/2020,35.10
1/13/2020,35.28
1/11/2020,35.28
1/10/2020,36.26
1/1/2020,35.48
12/31/2019,35.48
12/30/2019,35.07
12/28/2019,35.07
12/27/2019,34.92
12/26/2019,34.89
12/25/2019,34.73
12/24/2019,34.09
12/23/2019,33.99
12/21/2019,33.99
12/20/2019,34.17
12/19/2019,34.33
12/18/2019,34.22
12/17/2019,34.18
12/16/2019,33.92
12/14/2019,33.92
12/13/2019,33.87
12/12/2019,34.08
12/11/2019,33.97
12/10/2019,34.71
12/9/2019,34.56
12/7/2019,34.56
12/6/2019,35.14
12/5/2019,35.11
12/4/2019,34.80
12/3/2019,35.13
12/2/2019,34.91
11/30/2019,34.91
11/29/2019,35.15
11/28/2019,34.83
11/27/2019,34.73
11/26/2019,35.21
11/25/2019,35.01
11/23/2019,35.01
11/22/2019,35.13
11/21/2019,35.25
11/20/2019,34.44
11/19/2019,34.58
11/18/2019,34.99
11/16/2019,34.99
11/15/2019,34.99
11/14/2019,34.54
11/13/2019,34.65
11/12/2019,34.54
11/11/2019,35.92
11/9/2019,35.92
11/8/2019,35.94
11/7/2019,36.89
11/6/2019,36.98
11/4/2019,37.17
11/2/2019,37.17
11/1/2019,36.82
10/31/2019,36.27
10/30/2019,37.05
10/29/2019,37.22
10/28/2019,37.29
10/26/2019,37.29
10/25/2019,35.99
10/24/2019,35.97
10/23/2019,36.06
10/22/2019,36.34
10/21/2019,35.85
10/19/2019,35.85
10/18/2019,35.91
10/17/2019,35.70
10/16/2019,36.50
10/15/2019,36.43
10/14/2019,36.34
10/12/2019,36.34
10/11/2019,36.95
10/10/2019,37.21
10/9/2019,36.61
10/8/2019,36.32
10/7/2019,36.81
10/5/2019,36.81
10/4/2019,36.85
10/3/2019,36.31
10/2/2019,35.79
10/1/2019,35.86
9/30/2019,36.28
9/28/2019,36.28
9/27/2019,37.14
9/26/2019,38.32
9/25/2019,38.01
9/24/2019,37.79
9/23/2019,36.70
9/21/2019,36.70
9/20/2019,36.66
9/19/2019,36.98
9/18/2019,36.78
9/17/2019,36.60
9/16/2019,37.61
9/14/2019,37.61
9/13/2019,38.13
9/12/2019,38.21
9/11/2019,37.85
9/10/2019,38.30
9/9/2019,38.50
9/7/2019,38.50
9/6/2019,40.82
9/5/2019,41.27
9/4/2019,39.74
9/3/2019,39.31
9/2/2019,39.30
8/31/2019,39.30
8/30/2019,39.66
8/29/2019,39.21
8/28/2019,37.76
8/27/2019,36.16
8/26/2019,35.96
8/24/2019,35.96
8/23/2019,35.78
8/22/2019,36.45
8/21/2019,36.54
8/20/2019,36.24
8/19/2019,36.41
8/17/2019,36.41
8/16/2019,36.63
8/15/2019,35.88
8/14/2019,36.79
8/13/2019,35.67
8/12/2019,35.67
8/10/2019,35.67
8/9/2019,35.64
8/8/2019,35.20
8/7/2019,34.35
8/6/2019,34.48
8/5/2019,33.66
8/3/2019,33.66
8/2/2019,32.85
8/1/2019,33.59
7/31/2019,33.53
7/30/2019,33.47
7/29/2019,33.37
7/27/2019,33.37
7/26/2019,33.58
7/25/2019,33.55
7/24/2019,33.35
7/23/2019,33.18
7/22/2019,32.98
7/20/2019,32.98
7/19/2019,32.38
7/18/2019,31.59
7/17/2019,31.09
7/16/2019,30.95
7/15/2019,30.68
7/13/2019,30.68
7/12/2019,30.92
7/11/2019,30.96
7/10/2019,30.80
7/9/2019,30.95
7/8/2019,31.09
7/6/2019,31.09
7/5/2019,31.15
7/4/2019,31.25
7/3/2019,30.84
7/2/2019,30.94
7/1/2019,30.87
6/29/2019,30.87
6/28/2019,30.91
6/27/2019,30.80
6/26/2019,30.96
6/25/2019,31.09
6/24/2019,31.03
6/22/2019,31.03
6/21/2019,31.24
6/20/2019,30.74
