Дата,Индекс МосБиржи
2/18/2019,2472.41
2/15/2019,2490.16
2/14/2019,2460.82
2/13/2019,2485.76
2/12/2019,2533.32
2/11/2019,2510.22
2/8/2019,2502.82
2/7/2019,2509.89
2/6/2019,2539.73
2/5/2019,2547.27
2/4/2019,2523.52
2/1/2019,2521.70
1/31/2019,2521.10
1/30/2019,2511.86
1/29/2019,2498.35
1/28/2019,2476.81
1/25/2019,2498.23
1/24/2019,2482.71
1/23/2019,2491.49
1/22/2019,2468.73
1/21/2019,2468.25
1/18/2019,2473.61
1/17/2019,2447.64
1/16/2019,2434.60
1/15/2019,2439.55
1/14/2019,2440.15
1/11/2019,2444.45
1/10/2019,2434.15
1/9/2019,2414.13
1/8/2019,2389.69
1/4/2019,2406.50
1/3/2019,2375.60
12/29/2018,2369.33
12/28/2018,2358.50
12/27/2018,2327.81
12/26/2018,2308.85
12/25/2018,2290.86
12/24/2018,2322.27
12/21/2018,2347.17
12/20/2018,2352.88
12/19/2018,2358.58
12/18/2018,2350.29
12/17/2018,2359.13
12/14/2018,2365.69
12/13/2018,2378.50
12/12/2018,2370.35
12/11/2018,2394.26
12/10/2018,2396.84
12/7/2018,2431.29
12/6/2018,2412.31
12/5/2018,2445.55
12/4/2018,2443.38
12/3/2018,2441.19
11/30/2018,2392.50
11/29/2018,2398.56
11/28/2018,2381.12
11/27/2018,2338.71
11/26/2018,2308.50
11/23/2018,2342.97
11/22/2018,2369.53
11/21/2018,2357.97
11/20/2018,2341.60
11/19/2018,2373.78
11/16/2018,2372.67
11/15/2018,2381.45
11/14/2018,2378.59
11/13/2018,2374.94
11/12/2018,2393.81
11/9/2018,2403.47
11/8/2018,2438.62
11/7/2018,2445.34
11/6/2018,2412.31
11/2/2018,2377.95
11/1/2018,2359.33
10/31/2018,2352.71
10/30/2018,2299.98
10/29/2018,2317.06
10/26/2018,2293.22
10/25/2018,2331.59
10/24/2018,2336.49
10/23/2018,2305.58
10/22/2018,2308.56
10/19/2018,2344.79
10/18/2018,2378.62
10/17/2018,2411.42
10/16/2018,2417.26
10/15/2018,2389.05
10/12/2018,2403.02
10/11/2018,2366.47
10/10/2018,2417.69
10/9/2018,2443.83
