Дата,Индекс МосБиржи нефти и газа
6/9/2020,7295.94
6/8/2020,7257.36
6/5/2020,7272.01
6/4/2020,7175.43
6/3/2020,7276.14
6/2/2020,7176.28
6/1/2020,7037.88
5/29/2020,6970.96
5/28/2020,7142.48
5/27/2020,7086.10
5/26/2020,7163.82
5/25/2020,7158.58
5/22/2020,7007.71
5/21/2020,7014.45
5/20/2020,7236.56
5/19/2020,7050.83
5/18/2020,7003.54
5/15/2020,6710.66
5/14/2020,6696.67
5/13/2020,6617.68
5/12/2020,6756.21
5/8/2020,6741.76
5/7/2020,6710.37
5/6/2020,6719.13
5/5/2020,6818.02
5/4/2020,6682.93
4/30/2020,6743.76
4/29/2020,6819.67
4/28/2020,6642.40
4/27/2020,6503.86
4/24/2020,6522.07
4/23/2020,6648.52
4/22/2020,6559.71
4/21/2020,6276.21
4/20/2020,6384.15
4/17/2020,6476.33
4/16/2020,6412.68
4/15/2020,6373.74
4/14/2020,6760.89
4/13/2020,6877.88
4/10/2020,7045.12
4/9/2020,7124.62
4/8/2020,7036.04
4/7/2020,6965.00
4/6/2020,7009.21
4/3/2020,6930.67
4/2/2020,6785.32
4/1/2020,6442.89
3/31/2020,6472.72
3/30/2020,6166.82
3/27/2020,6136.15
3/26/2020,6417.58
3/25/2020,6292.39
3/24/2020,6135.10
3/23/2020,5726.73
3/20/2020,5886.92
3/19/2020,5743.78
3/18/2020,5209.83
3/17/2020,5565.36
3/16/2020,5679.35
3/13/2020,5766.16
3/12/2020,5882.72
3/11/2020,6389.58
3/10/2020,6407.07
3/6/2020,7207.13
3/5/2020,7509.88
3/4/2020,7575.91
3/3/2020,7513.67
3/2/2020,7365.35
2/28/2020,7415.55
2/27/2020,7730.44
2/26/2020,8093.59
2/25/2020,8091.88
2/21/2020,8401.34
2/20/2020,8504.69
2/19/2020,8481.11
2/18/2020,8343.03
2/17/2020,8491.25
2/14/2020,8408.06
2/13/2020,8425.49
2/12/2020,8472.63
2/11/2020,8356.07
2/10/2020,8231.68
2/7/2020,8346.50
2/6/2020,8465.52
2/5/2020,8541.73
2/4/2020,8518.56
2/3/2020,8433.51
1/31/2020,8509.71
1/30/2020,8617.07
1/29/2020,8679.48
1/28/2020,8644.03
1/27/2020,8573.01
1/24/2020,8752.39
1/23/2020,8768.84
1/22/2020,8896.59
1/21/2020,9071.23
1/20/2020,9118.11
1/17/2020,9092.93
1/16/2020,9045.27
1/15/2020,8991.93
1/14/2020,9003.21
1/13/2020,9061.60
1/10/2020,9037.75
1/9/2020,9039.14
1/8/2020,8963.74
1/6/2020,8875.51
1/3/2020,8853.65
12/30/2019,8739.70
12/27/2019,8788.39
12/26/2019,8789.66
12/25/2019,8773.12
12/24/2019,8781.24
12/23/2019,8796.95
12/20/2019,8728.11
12/19/2019,8720.55
12/18/2019,8769.31
12/17/2019,8746.43
12/16/2019,8700.74
12/13/2019,8667.93
12/12/2019,8660.52
12/11/2019,8524.79
12/10/2019,8450.58
12/9/2019,8524.51
12/6/2019,8476.89
12/5/2019,8385.70
12/4/2019,8415.06
12/3/2019,8327.79
12/2/2019,8446.90
11/29/2019,8496.81
11/28/2019,8497.89
11/27/2019,8510.07
11/26/2019,8544.35
11/25/2019,8652.21
11/22/2019,8656.62
11/21/2019,8627.97
11/20/2019,8615.65
11/19/2019,8638.97
11/18/2019,8590.64
11/15/2019,8687.50
11/14/2019,8710.05
11/13/2019,8744.86
11/12/2019,8799.73
11/11/2019,8811.72
11/8/2019,8798.51
11/7/2019,8929.88
11/6/2019,8814.22
11/5/2019,8720.41
11/1/2019,8646.78
10/31/2019,8495.10
10/30/2019,8540.98
10/29/2019,8496.58
10/28/2019,8425.05
10/25/2019,8548.07
10/24/2019,8484.43
10/23/2019,8286.60
10/22/2019,8130.13
10/21/2019,8019.45
10/18/2019,7998.95
10/17/2019,8027.90
10/16/2019,8034.95
10/15/2019,7910.17
10/14/2019,7873.63
10/11/2019,7912.36
10/10/2019,7840.67
10/9/2019,7826.74
10/8/2019,7820.22
10/7/2019,7838.97
10/4/2019,7737.40
10/3/2019,7744.18
10/2/2019,7779.91
10/1/2019,7896.05
9/30/2019,7835.53
9/27/2019,7879.39
9/26/2019,7926.10
9/25/2019,7936.94
9/24/2019,7927.72
9/23/2019,8026.56
9/20/2019,8025.17
9/19/2019,7981.44
9/18/2019,8040.36
9/17/2019,8076.52
9/16/2019,8130.91
9/13/2019,7924.53
9/12/2019,7933.44
9/11/2019,8003.59
9/10/2019,7886.72
9/9/2019,7913.03
9/6/2019,7951.43
9/5/2019,7955.86
9/4/2019,7976.94
9/3/2019,7946.44
9/2/2019,7790.87
8/30/2019,7621.73
8/29/2019,7571.39
8/28/2019,7483.23
8/27/2019,7436.00
8/26/2019,7447.37
8/23/2019,7448.62
8/22/2019,7493.85
8/21/2019,7514.43
8/20/2019,7534.16
8/19/2019,7441.73
8/16/2019,7369.14
