Дата,USD/RUB (Банк России)
3/9/2020,67.52
3/7/2020,67.52
3/6/2020,66.19
3/5/2020,66.08
3/4/2020,66.44
3/3/2020,66.33
3/2/2020,66.99
2/29/2020,66.99
2/28/2020,65.61
2/27/2020,65.52
2/26/2020,64.92
2/24/2020,64.30
2/22/2020,64.30
2/21/2020,63.74
2/20/2020,63.69
2/19/2020,63.77
2/18/2020,63.31
2/17/2020,63.45
2/15/2020,63.45
2/14/2020,63.60
2/13/2020,63.05
2/12/2020,63.95
2/11/2020,63.77
2/10/2020,63.47
2/8/2020,63.47
2/7/2020,62.80
2/6/2020,63.17
2/5/2020,63.43
2/4/2020,63.91
2/3/2020,63.14
2/1/2020,63.14
1/31/2020,63.04
1/30/2020,62.39
1/29/2020,62.83
1/28/2020,62.34
1/27/2020,61.80
1/25/2020,61.80
1/24/2020,61.95
1/23/2020,61.83
1/22/2020,61.86
1/21/2020,61.47
1/20/2020,61.53
1/18/2020,61.53
1/17/2020,61.57
1/16/2020,61.43
1/15/2020,61.41
1/14/2020,60.95
1/13/2020,61.26
1/11/2020,61.26
1/10/2020,61.23
1/1/2020,61.91
12/31/2019,61.91
12/30/2019,62.03
12/28/2019,62.03
12/27/2019,61.77
12/26/2019,61.72
12/25/2019,62.17
12/24/2019,62.25
12/23/2019,62.41
12/21/2019,62.41
12/20/2019,62.53
12/19/2019,62.58
12/18/2019,62.53
12/17/2019,62.77
12/16/2019,62.55
12/14/2019,62.55
12/13/2019,63.23
12/12/2019,63.57
12/11/2019,63.58
12/10/2019,63.72
12/9/2019,63.72
12/7/2019,63.72
12/6/2019,63.81
12/5/2019,64.19
12/4/2019,64.14
12/3/2019,64.41
12/2/2019,64.08
11/30/2019,64.08
11/29/2019,64.10
11/28/2019,63.97
11/27/2019,64.02
11/26/2019,63.76
11/25/2019,63.71
11/23/2019,63.71
11/22/2019,63.84
11/21/2019,64.02
11/20/2019,63.77
11/19/2019,63.75
11/18/2019,63.89
11/16/2019,63.89
11/15/2019,64.21
11/14/2019,64.20
11/13/2019,63.85
11/12/2019,63.91
11/11/2019,63.73
11/9/2019,63.73
11/8/2019,63.73
11/7/2019,63.59
11/6/2019,63.25
11/4/2019,64.03
11/2/2019,64.03
11/1/2019,63.77
10/31/2019,63.87
10/30/2019,63.83
10/29/2019,63.87
10/28/2019,64.00
10/26/2019,64.00
10/25/2019,63.86
10/24/2019,63.80
10/23/2019,63.63
10/22/2019,63.76
10/21/2019,63.95
10/19/2019,63.95
10/18/2019,64.01
10/17/2019,64.35
10/16/2019,64.25
10/15/2019,64.37
10/14/2019,64.22
10/12/2019,64.22
10/11/2019,64.74
10/10/2019,65.10
10/9/2019,64.87
10/8/2019,64.83
10/7/2019,65.03
10/5/2019,65.03
10/4/2019,65.13
10/3/2019,65.44
10/2/2019,65.07
10/1/2019,64.64
9/30/2019,64.42
9/28/2019,64.42
9/27/2019,64.29
9/26/2019,64.19
9/25/2019,63.71
9/24/2019,63.95
9/23/2019,63.85
9/21/2019,63.85
9/20/2019,64.22
9/19/2019,64.43
9/18/2019,64.12
9/17/2019,63.83
9/16/2019,64.47
9/14/2019,64.47
9/13/2019,65.19
9/12/2019,65.43
9/11/2019,65.44
9/10/2019,65.57
9/9/2019,66.00
9/7/2019,66.00
9/6/2019,66.05
9/5/2019,66.50
9/4/2019,66.91
9/3/2019,66.62
9/2/2019,66.49
8/31/2019,66.49
8/30/2019,66.75
8/29/2019,66.41
8/28/2019,66.26
8/27/2019,65.97
8/26/2019,65.60
8/24/2019,65.60
8/23/2019,65.62
8/22/2019,66.26
8/21/2019,66.78
8/20/2019,66.61
8/19/2019,66.00
8/17/2019,66.00
8/16/2019,65.89
8/15/2019,65.20
8/14/2019,65.60
8/13/2019,65.43
8/12/2019,65.25
8/10/2019,65.25
8/9/2019,65.13
8/8/2019,65.09
8/7/2019,65.20
8/6/2019,65.05
8/5/2019,64.64
8/3/2019,64.64
8/2/2019,63.83
8/1/2019,63.42
7/31/2019,63.38
7/30/2019,63.52
7/29/2019,63.13
7/27/2019,63.13
7/26/2019,63.16
7/25/2019,63.12
7/24/2019,63.13
7/23/2019,62.98
7/22/2019,62.87
7/20/2019,62.87
7/19/2019,62.83
7/18/2019,62.95
7/17/2019,62.81
7/16/2019,62.83
7/15/2019,63.02
7/13/2019,63.02
7/12/2019,62.99
7/11/2019,63.80
7/10/2019,63.77
7/9/2019,63.87
7/8/2019,63.58
7/6/2019,63.58
7/5/2019,63.40
7/4/2019,63.50
7/3/2019,63.23
7/2/2019,63.05
7/1/2019,63.08
6/29/2019,63.08
6/28/2019,63.05
6/27/2019,62.81
6/26/2019,62.52
6/25/2019,62.91
6/24/2019,63.13
6/22/2019,63.13
6/21/2019,63.39
6/20/2019,63.98
6/19/2019,64.34
6/18/2019,64.32
6/17/2019,64.43
6/15/2019,64.43
6/14/2019,64.63
6/12/2019,64.52
6/11/2019,64.79
6/10/2019,65.04
6/8/2019,65.04
6/7/2019,65.23
6/6/2019,65.12
6/5/2019,65.16
6/4/2019,65.55
6/3/2019,65.38
6/1/2019,65.38
5/31/2019,65.06
5/30/2019,64.91
5/29/2019,64.54
5/28/2019,64.46
5/27/2019,64.61
5/25/2019,64.61
5/24/2019,64.49
5/23/2019,64.42
5/22/2019,64.54
5/21/2019,64.49
5/20/2019,64.63
5/18/2019,64.63
5/17/2019,64.56
5/16/2019,64.85
5/15/2019,65.30
5/14/2019,65.47
5/9/2019,65.23
5/8/2019,65.22
5/7/2019,65.34
5/1/2019,64.63
4/30/2019,64.69
4/29/2019,64.71
4/27/2019,64.71
4/26/2019,64.68
4/25/2019,63.98
4/24/2019,63.79
4/23/2019,63.79
4/22/2019,63.96
4/20/2019,63.96
4/19/2019,64.07
4/18/2019,63.95
4/17/2019,64.24
4/16/2019,64.25
4/15/2019,64.52
4/13/2019,64.52
4/12/2019,64.40
4/11/2019,64.74
4/10/2019,64.78
4/9/2019,65.35
4/8/2019,65.41
4/6/2019,65.41
4/5/2019,65.33
4/4/2019,65.16
4/3/2019,65.47
4/2/2019,65.42
4/1/2019,64.73
3/30/2019,64.73
3/29/2019,64.80
3/28/2019,64.59
3/27/2019,64.17
3/26/2019,64.50
3/25/2019,63.77
3/23/2019,63.77
3/22/2019,63.74
3/21/2019,64.28
3/20/2019,64.32
3/19/2019,64.67
3/18/2019,65.42
3/16/2019,65.42
3/15/2019,65.40
